Vardas         Pavarde        ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   Egz.
Vardas3201     Pavarde3201    6      10     7      8      0      9      5      9      9      6      6      3      2      3      0      5      
Vardas3202     Pavarde3202    2      4      8      0      2      5      5      6      0      4      3      6      6      7      1      7      
Vardas3203     Pavarde3203    9      6      5      10     3      2      2      8      7      10     8      5      4      2      10     1      
Vardas3204     Pavarde3204    2      2      2      9      5      3      9      7      7      1      6      4      7      7      3      8      
Vardas3205     Pavarde3205    4      4      5      7      3      8      4      8      3      10     10     7      2      2      8      6      
Vardas3206     Pavarde3206    4      5      6      3      5      8      6      1      3      9      9      7      0      3      8      4      
Vardas3207     Pavarde3207    4      8      2      3      0      10     5      4      6      4      6      7      0      4      3      8      
Vardas3208     Pavarde3208    3      1      0      1      1      8      2      4      6      2      9      5      5      5      4      0      
Vardas3209     Pavarde3209    8      9      9      4      4      7      8      3      2      3      1      5      2      9      9      8      
Vardas3210     Pavarde3210    1      4      10     4      0      5      0      7      9      2      4      9      8      5      2      6      
Vardas3211     Pavarde3211    5      1      8      2      2      3      2      1      4      8      0      1      6      10     2      6      
Vardas3212     Pavarde3212    5      7      0      7      4      4      6      10     4      6      0      5      0      1      9      4      
Vardas3213     Pavarde3213    7      0      5      1      8      10     7      3      2      6      5      8      10     6      8      10     
Vardas3214     Pavarde3214    7      3      7      10     5      7      0      5      7      0      1      5      2      8      3      5      
Vardas3215     Pavarde3215    2      6      5      0      10     9      1      9      9      4      1      9      6      4      9      4      
Vardas3216     Pavarde3216    1      3      7      0      9      4      8      1      2      5      8      10     8      2      0      0      
Vardas3217     Pavarde3217    8      7      8      2      8      9      5      1      3      7      0      0      6      10     5      3      
Vardas3218     Pavarde3218    0      0      6      6      1      2      7      7      9      4      7      3      1      10     3      7      
Vardas3219     Pavarde3219    4      10     9      5      0      5      9      4      7      3      8      8      7      2      4      1      
Vardas3220     Pavarde3220    3      8      4      5      1      4      10     3      6      0      5      10     2      5      8      2      
Vardas3221     Pavarde3221    8      7      5      3      3      10     10     4      10     10     10     2      4      1      9      4      
Vardas3222     Pavarde3222    1      1      4      0      3      10     6      8      3      8      6      3      6      1      1      9      
Vardas3223     Pavarde3223    7      8      10     3      0      1      5      5      8      1      7      2      6      9      1      9      
Vardas3224     Pavarde3224    8      0      5      7      1      1      8      1      0      7      10     1      2      6      8      8      
Vardas3225     Pavarde3225    3      6      4      9      10     9      2      8      0      6      8      4      2      0      10     6      
